Age,Gender,Marital_Status,Governorate,Household_Size,Salary,Degree_Level,Employment_Status,Primary_Income_Source,Has_Other_Social_Benefits,Assets_Value,Liabilities_Value,Number_of_Children,Working_Children_Count,Total_Spouse_Income,Total_Children_Income,Total_Household_Income,Vehicle_Ownership,Vehicle_Count,Cylinder_Count,Vehicle_Age_Years,Fuel_Type,Expected_Fuel_Consumption_L,Average_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Previous_Subsidy_Received,Previous_Subsidy_Amount,Late_or_Missed_Renewals,Applications_Last_12_Months,Eligible,ID,Fraud
27.0,0,2,3,8,80.0,3,0,0,0,1326.77,1413.33,0,0,0.0,0.0,80.0,1,1,6,6,0,100.0,101.182,1.18,1.012,1,30.59,0,1,1,19565385,0
34.0,1,1,3,3,80.0,1,0,0,0,1189.03,1437.65,3,1,229.21,131.14,440.35,0,0,0,0,2,0.0,0.0,0.0,0.0,1,26.26,1,2,0,14023699,0
53.0,1,2,1,5,85.67,2,0,0,1,878.29,2047.7,0,0,0.0,0.0,85.67,1,0,4,6,1,100.0,97.829,-2.17,0.978,0,5.0,1,2,1,14138398,0
27.0,1,1,0,3,80.0,0,0,1,0,1425.92,2416.53,1,0,705.72,0.0,785.72,1,1,4,4,1,100.0,71.167,-28.83,0.712,1,17.64,0,0,1,17060889,0
30.0,0,1,1,2,80.0,1,0,1,0,2247.83,1518.84,1,0,540.48,0.0,620.48,1,0,6,7,0,100.0,70.695,-29.31,0.707,1,25.82,1,2,1,10117612,0
30.0,0,2,2,3,80.0,0,0,1,1,2600.47,907.71,0,0,0.0,0.0,80.0,1,0,4,1,1,100.0,152.301,52.3,1.523,0,5.0,0,1,1,15044581,0
61.0,0,2,3,8,146.29,2,0,0,1,3168.03,2986.25,0,0,0.0,0.0,146.29,1,2,4,3,1,100.0,109.306,9.31,1.093,0,5.0,1,2,1,18360637,0
61.0,1,1,2,1,80.0,0,2,1,0,4450.69,3263.7,1,0,270.66,0.0,350.66,1,1,6,5,0,100.0,138.536,38.54,1.385,1,28.85,1,1,1,17878481,0
47.0,1,1,3,5,95.68,1,0,0,0,7620.57,1290.42,4,1,192.31,66.48,354.47,1,0,4,8,0,100.0,89.467,-10.53,0.895,1,18.78,1,1,1,14629486,0
40.0,0,1,1,6,84.09,1,3,0,1,1548.51,1114.05,1,0,145.52,0.0,229.61,0,0,0,0,2,0.0,0.0,0.0,0.0,1,29.88,0,1,0,12015382,0
44.0,1,1,4,4,80.0,1,0,0,0,5873.89,3900.8,1,0,584.46,0.0,664.46,1,2,4,4,1,100.0,139.554,39.55,1.396,1,20.62,0,2,1,19035199,0
53.0,1,3,3,5,110.79,1,0,0,1,10642.1,676.99,1,0,0.0,0.0,110.79,1,1,4,8,1,100.0,72.48,-27.52,0.725,1,22.24,0,0,1,11823804,0
24.0,1,2,0,4,80.0,4,2,1,0,3885.84,4130.94,0,0,0.0,0.0,80.0,1,1,6,8,1,100.0,78.684,-21.32,0.787,1,20.47,0,1,1,13595683,0
49.0,0,0,2,5,86.17,2,3,0,0,3130.37,3738.04,1,1,0.0,34.86,121.03,1,3,4,7,1,100.0,119.26,19.26,1.193,1,10.56,0,0,1,14221145,0
20.0,1,2,1,2,80.0,0,2,1,1,1079.98,4497.3,0,0,0.0,0.0,80.0,1,2,4,10,1,100.0,63.33,-36.67,0.633,1,35.27,1,0,1,19984281,0
27.0,1,2,2,5,80.0,2,0,1,0,1629.58,5207.26,0,0,0.0,0.0,80.0,1,3,6,5,1,100.0,112.472,12.47,1.125,0,5.0,0,1,1,12559800,0
46.0,1,3,1,2,80.0,2,0,1,1,2481.08,1952.63,1,0,0.0,0.0,80.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,16.61,0,1,0,15242405,0
18.0,1,1,1,1,80.0,1,2,1,1,2567.7,1526.79,1,0,159.54,0.0,239.54,1,0,4,6,1,100.0,91.403,-8.6,0.914,1,17.34,1,0,1,19194700,0
33.0,1,1,2,3,125.03,0,3,2,0,4081.56,1460.56,0,0,254.33,0.0,379.36,1,1,4,6,0,100.0,104.661,4.66,1.047,0,5.0,0,0,1,10726972,0
25.0,0,0,1,7,80.0,2,0,2,1,3108.06,2030.99,3,1,0.0,100.14,180.14,1,1,8,5,0,100.0,125.825,25.83,1.258,0,5.0,1,0,1,15929516,0
32.0,0,1,3,4,80.0,1,3,1,0,2516.86,2932.34,4,0,269.07,0.0,349.07,1,2,4,4,1,100.0,96.55,-3.45,0.966,0,5.0,1,0,1,11159515,0
18.0,1,2,1,5,80.0,2,2,0,0,2053.95,513.06,0,0,0.0,0.0,80.0,1,2,4,7,1,100.0,125.426,25.43,1.254,0,5.0,0,1,1,15354046,0
18.0,0,2,3,4,138.45,2,3,0,0,4486.11,6117.56,0,0,0.0,0.0,138.45,1,0,4,5,1,100.0,153.549,53.55,1.535,1,24.61,1,0,1,17907124,0
27.0,1,1,1,2,80.0,4,2,1,1,2180.65,2499.6,1,0,219.79,0.0,299.79,1,0,4,6,1,100.0,62.499,-37.5,0.625,0,5.0,0,1,1,15376069,0
46.0,1,1,3,3,94.18,1,0,0,0,5554.12,3496.1,2,1,226.71,152.18,473.07,1,0,4,7,1,100.0,110.186,10.19,1.102,1,32.56,1,2,1,11646836,0
33.0,1,0,1,3,80.0,0,0,3,1,2554.64,5512.87,0,0,0.0,0.0,80.0,1,1,4,2,0,100.0,108.13,8.13,1.081,0,5.0,0,1,1,13417829,0
35.0,0,2,3,1,94.42,2,3,0,0,2626.09,1325.51,0,0,0.0,0.0,94.42,1,2,8,7,1,100.0,130.834,30.83,1.308,1,24.43,0,1,1,15049500,0
43.0,1,1,4,6,118.61,2,0,1,0,5498.17,1205.88,4,3,89.4,380.54,588.55,1,1,4,3,1,100.0,95.384,-4.62,0.954,1,25.31,2,1,1,19051196,0
24.0,0,2,0,5,80.0,0,2,0,0,3725.9,1367.24,0,0,0.0,0.0,80.0,1,1,6,9,1,100.0,84.05,-15.95,0.84,1,21.45,0,1,1,12243913,0
38.0,1,1,2,4,117.02,3,2,1,0,1326.84,925.59,1,0,164.66,0.0,281.68,0,0,0,0,2,0.0,0.0,0.0,0.0,0,5.0,0,2,0,11689171,0
25.0,0,1,1,1,80.0,4,0,2,0,3273.49,1863.16,0,0,402.0,0.0,482.0,1,3,6,6,1,100.0,91.028,-8.97,0.91,1,27.22,0,2,1,12225931,0
18.0,0,2,3,3,80.0,1,0,1,0,2803.2,2508.52,0,0,0.0,0.0,80.0,1,2,4,8,1,100.0,67.751,-32.25,0.678,1,30.98,0,2,1,15419216,0
30.0,1,1,1,4,108.65,1,2,0,0,2086.75,1366.84,4,0,414.69,0.0,523.34,1,1,4,11,0,100.0,56.964,-43.04,0.57,0,5.0,0,1,1,12000110,0
42.0,1,0,2,3,129.51,1,2,0,0,2718.19,2870.22,1,0,0.0,0.0,129.51,1,1,4,8,0,100.0,125.278,25.28,1.253,1,14.28,0,0,1,19737926,0
39.0,0,2,2,5,80.0,2,2,0,0,2532.21,948.22,0,0,0.0,0.0,80.0,1,1,4,5,1,100.0,94.589,-5.41,0.946,0,5.0,1,0,1,18426957,0
35.0,1,1,0,3,80.0,2,0,0,0,777.52,6402.81,1,1,269.45,93.29,442.74,1,1,6,10,1,100.0,111.718,11.72,1.117,0,5.0,1,0,1,10258314,0
64.0,0,2,0,5,143.1,2,0,2,1,2454.85,1948.5,0,0,0.0,0.0,143.1,1,4,4,7,1,100.0,133.603,33.6,1.336,0,5.0,0,0,1,18409999,0
40.0,1,1,1,5,80.0,2,0,2,0,4817.1,1569.76,5,1,290.25,102.64,472.89,1,0,8,6,1,100.0,89.865,-10.14,0.899,1,12.98,0,2,1,11514175,0
47.0,0,2,3,1,80.0,1,0,2,0,3866.75,5889.66,0,0,0.0,0.0,80.0,1,1,6,9,0,100.0,110.067,10.07,1.101,0,5.0,0,0,1,18032044,0
62.0,1,2,4,4,109.65,0,3,2,0,2835.02,2400.19,0,0,0.0,0.0,109.65,1,3,4,5,1,100.0,99.276,-0.72,0.993,1,29.83,0,1,1,19408430,0
19.0,1,1,3,6,80.0,0,0,1,0,2237.42,740.93,0,0,245.28,0.0,325.28,1,1,4,4,1,100.0,78.064,-21.94,0.781,1,18.19,0,0,1,11485515,0
23.0,1,2,1,2,131.58,0,0,0,0,2754.64,3437.77,0,0,0.0,0.0,131.58,1,0,4,9,1,100.0,83.994,-16.01,0.84,1,23.95,0,0,1,11283811,0
56.0,1,2,0,6,80.0,4,0,0,1,1891.77,3391.03,0,0,0.0,0.0,80.0,1,3,4,8,0,100.0,105.368,5.37,1.054,1,35.66,3,3,1,11363477,0
25.0,1,1,1,6,80.0,4,1,0,1,3276.82,900.45,3,0,185.43,0.0,265.43,1,2,4,9,1,100.0,130.502,30.5,1.305,0,5.0,0,0,1,10874888,0
35.0,1,2,0,6,104.16,1,0,0,1,1865.37,4760.52,0,0,0.0,0.0,104.16,1,1,4,7,1,100.0,109.445,9.44,1.094,1,22.73,0,0,1,12275294,0
48.0,0,1,0,5,123.73,2,0,0,0,2980.92,1134.39,3,0,268.33,0.0,392.06,1,0,4,11,1,100.0,77.196,-22.8,0.772,1,30.03,1,0,1,15462588,0
46.0,0,1,4,6,113.36,2,0,0,0,4741.71,6904.37,3,1,163.05,155.69,432.1,1,0,4,8,1,100.0,77.157,-22.84,0.772,0,5.0,0,2,1,13668058,0
56.0,0,0,0,9,104.59,2,3,0,1,2762.91,949.06,5,2,0.0,163.68,268.27,1,1,8,8,1,100.0,131.842,31.84,1.318,1,23.32,0,0,1,14138871,0
53.0,1,1,4,5,113.85,0,1,2,0,1766.75,598.01,1,0,275.43,0.0,389.28,1,0,6,3,1,100.0,103.719,3.72,1.037,0,5.0,0,0,1,11510638,0
48.0,1,1,1,5,89.18,2,1,1,0,2024.87,2137.85,2,0,235.3,0.0,324.48,1,6,6,6,1,100.0,111.553,11.55,1.116,1,25.49,0,1,1,15979576,0
26.0,0,1,3,4,120.39,0,0,1,1,3233.77,1483.97,2,0,469.55,0.0,589.94,1,1,6,5,1,100.0,113.616,13.62,1.136,1,15.92,0,2,1,19722079,0
45.0,0,1,3,3,84.36,2,0,0,0,2052.9,3499.22,1,0,324.53,0.0,408.89,1,1,8,6,1,100.0,129.866,29.87,1.299,1,24.4,0,0,1,13603995,0
39.0,0,2,3,6,100.66,2,2,1,0,7691.23,1296.27,0,0,0.0,0.0,100.66,1,0,6,9,0,100.0,157.147,57.15,1.571,0,5.0,0,2,1,10982344,0
19.0,1,1,3,4,80.0,2,2,1,0,5591.26,1401.72,1,0,367.76,0.0,447.76,1,2,4,4,1,100.0,61.387,-38.61,0.614,1,32.63,0,1,1,10975668,0
52.0,1,0,2,2,80.0,0,2,1,1,2884.52,1377.79,4,2,0.0,221.12,301.12,1,1,4,3,1,100.0,61.07,-38.93,0.611,1,27.07,0,2,1,16618873,0
45.0,1,1,1,4,138.5,2,2,1,0,2119.44,1051.3,3,1,135.76,81.6,355.86,1,1,6,3,0,100.0,125.004,25.0,1.25,1,27.56,0,3,1,12389888,0
36.0,1,1,1,3,189.68,2,0,0,1,1285.83,5276.29,2,1,159.87,92.23,441.78,1,0,6,1,0,100.0,102.229,2.23,1.022,0,5.0,0,0,1,19506393,0
32.0,0,1,1,3,80.0,2,0,1,0,6699.95,1466.88,3,0,192.82,0.0,272.82,0,0,0,0,2,0.0,0.0,0.0,0.0,1,25.18,0,0,0,15029248,0
21.0,1,2,3,2,80.0,2,0,1,0,4942.82,4956.45,0,0,0.0,0.0,80.0,1,0,6,7,0,100.0,118.885,18.89,1.189,1,17.52,1,0,1,14634269,0
37.0,0,0,1,6,80.0,1,0,0,0,2034.74,1828.55,3,1,0.0,125.39,205.39,1,2,4,4,1,100.0,85.803,-14.2,0.858,1,27.94,0,1,1,15018764,0
41.0,0,1,2,3,89.0,0,3,1,0,5857.62,1290.21,1,0,261.69,0.0,350.69,1,0,6,9,1,100.0,107.433,7.43,1.074,1,27.62,0,0,1,11215627,0
25.0,1,1,1,2,80.0,1,1,0,1,2498.85,2753.13,1,0,227.34,0.0,307.34,1,2,8,9,0,100.0,139.064,39.06,1.391,1,25.34,0,0,1,14993919,0
49.0,0,2,4,2,80.0,2,3,0,0,2249.31,15172.9,0,0,0.0,0.0,80.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,34.33,1,1,0,17079516,0
22.0,0,2,4,5,111.25,1,2,0,0,2001.77,1156.56,0,0,0.0,0.0,111.25,1,1,6,12,1,100.0,85.644,-14.36,0.856,1,25.29,0,0,1,19796122,0
18.0,1,2,2,5,192.69,4,2,1,0,2909.78,4956.21,0,0,0.0,0.0,192.69,0,0,0,0,2,0.0,0.0,0.0,0.0,1,25.1,0,2,0,16325136,0
47.0,1,2,4,4,80.0,2,0,1,0,1138.82,2610.76,0,0,0.0,0.0,80.0,1,1,4,10,1,100.0,113.532,13.53,1.135,1,20.96,0,1,1,14658345,0
30.0,0,1,0,2,191.32,2,0,0,1,5744.56,2426.84,3,1,754.95,95.16,1041.43,1,2,4,2,0,100.0,119.185,19.19,1.192,1,23.96,2,0,1,13325043,0
33.0,1,2,1,3,131.32,2,0,0,0,3250.08,1397.55,0,0,0.0,0.0,131.32,1,0,8,11,0,100.0,114.551,14.55,1.146,1,28.29,0,1,1,13710269,0
25.0,0,2,1,1,131.56,0,2,0,1,3302.74,4082.33,0,0,0.0,0.0,131.56,1,1,4,6,1,100.0,83.156,-16.84,0.832,1,29.59,0,1,1,10355975,0
18.0,1,2,3,5,134.37,0,2,1,0,5471.33,1727.59,0,0,0.0,0.0,134.37,1,1,4,10,1,100.0,108.019,8.02,1.08,1,18.68,0,1,1,15222137,0
50.0,1,1,3,5,80.0,0,0,0,1,3237.37,5062.87,5,3,170.79,243.33,494.12,1,3,4,10,0,100.0,81.861,-18.14,0.819,1,15.53,0,1,1,10521934,0
27.0,0,1,3,3,107.72,0,3,1,1,4600.81,2275.4,1,0,491.96,0.0,599.68,0,0,0,0,2,0.0,0.0,0.0,0.0,0,5.0,0,4,0,13288493,0
55.0,1,1,1,3,80.0,0,0,0,1,2762.58,1605.87,3,1,288.05,84.62,452.67,1,1,6,12,0,100.0,130.102,30.1,1.301,1,33.8,0,1,1,15442298,0
45.0,0,2,2,1,95.28,2,1,0,0,1931.09,2099.7,0,0,0.0,0.0,95.28,1,2,4,9,0,100.0,61.683,-38.32,0.617,0,5.0,1,0,1,12156677,0
31.0,1,1,2,3,129.56,1,0,1,0,7470.66,2031.13,2,0,327.9,0.0,457.46,1,2,8,9,0,100.0,67.563,-32.44,0.676,1,13.29,0,0,1,15338643,0
22.0,1,2,1,4,112.3,3,0,1,0,2265.44,5240.71,0,0,0.0,0.0,112.3,1,0,4,5,0,100.0,61.295,-38.7,0.613,0,5.0,0,1,1,13063170,0
26.0,1,2,0,8,136.09,0,0,0,1,3585.44,926.17,0,0,0.0,0.0,136.09,1,0,4,10,1,100.0,118.315,18.31,1.183,0,5.0,0,1,1,16886100,0
20.0,1,2,0,1,160.93,3,2,0,0,2662.99,1112.5,0,0,0.0,0.0,160.93,1,2,6,7,1,100.0,142.138,42.14,1.421,0,5.0,0,2,1,17241228,0
60.0,1,0,1,5,118.97,2,0,1,0,4633.12,1540.59,0,0,0.0,0.0,118.97,0,0,0,0,2,0.0,0.0,0.0,0.0,1,14.72,0,2,0,15300670,0
37.0,1,2,1,5,80.0,0,3,0,0,3599.0,4176.72,0,0,0.0,0.0,80.0,1,1,8,5,0,100.0,103.429,3.43,1.034,1,16.9,0,2,1,13062976,0
49.0,0,1,2,4,115.05,1,0,1,1,2065.1,2045.02,0,0,265.29,0.0,380.34,0,0,0,0,2,0.0,0.0,0.0,0.0,1,33.03,0,2,0,14774488,0
20.0,1,2,3,3,85.32,0,2,0,0,2476.14,1339.62,0,0,0.0,0.0,85.32,1,0,6,9,1,100.0,109.56,9.56,1.096,1,29.97,0,1,1,14877575,0
37.0,1,2,1,2,80.0,2,0,2,0,2443.26,653.17,0,0,0.0,0.0,80.0,1,2,6,9,1,100.0,78.928,-21.07,0.789,0,5.0,0,2,1,17640931,0
49.0,1,2,0,3,104.76,4,3,0,0,6538.39,8142.29,0,0,0.0,0.0,104.76,1,2,6,9,1,100.0,115.481,15.48,1.155,1,33.76,0,2,1,19409934,0
31.0,1,2,4,3,83.5,1,0,1,0,1956.67,2114.47,0,0,0.0,0.0,83.5,0,0,0,0,2,0.0,0.0,0.0,0.0,1,26.25,1,1,0,18916783,0
47.0,0,1,1,3,80.0,0,0,1,0,2853.72,2003.49,0,0,107.11,0.0,187.11,1,4,6,8,0,100.0,119.345,19.34,1.193,1,11.66,0,0,1,18928494,0
22.0,1,1,4,8,114.29,4,2,1,0,1681.52,1190.76,1,0,176.36,0.0,290.65,1,1,6,8,0,100.0,106.196,6.2,1.062,1,20.53,0,0,1,15795659,0
19.0,1,2,1,3,80.0,0,3,0,0,2685.8,1268.23,0,0,0.0,0.0,80.0,1,0,4,6,1,100.0,160.705,60.71,1.607,1,23.41,0,1,1,19601245,0
40.0,1,1,1,1,80.0,2,0,1,0,2475.17,2473.7,5,1,218.78,74.06,372.84,0,0,0,0,2,0.0,0.0,0.0,0.0,0,5.0,1,1,0,12691062,0
30.0,1,1,1,1,165.84,2,0,1,0,2730.42,5475.66,1,0,408.48,0.0,574.32,1,1,4,6,0,100.0,160.114,60.11,1.601,1,18.87,0,1,1,12707637,0
43.0,1,2,0,3,80.0,0,0,1,1,2650.09,3019.93,0,0,0.0,0.0,80.0,1,1,4,6,1,100.0,104.956,4.96,1.05,1,22.14,0,0,1,15165676,0
18.0,1,1,1,6,103.7,2,2,0,0,2392.86,2058.93,2,0,169.96,0.0,273.66,0,0,0,0,2,0.0,0.0,0.0,0.0,1,18.0,0,0,0,14895805,0
44.0,0,3,4,4,109.58,2,2,0,1,2169.22,3274.25,0,0,0.0,0.0,109.58,1,2,4,9,1,100.0,54.015,-45.98,0.54,0,5.0,0,0,1,16698200,0
66.0,0,2,1,6,120.41,1,1,0,0,3727.63,5819.09,0,0,0.0,0.0,120.41,1,0,6,6,0,100.0,97.201,-2.8,0.972,0,5.0,0,1,1,16033525,0
35.0,0,3,1,6,80.0,2,1,0,0,2112.2,7648.99,2,1,0.0,76.13,156.13,1,3,4,3,1,100.0,118.744,18.74,1.187,0,5.0,0,2,1,17147854,0
35.0,0,1,3,2,80.0,1,0,1,0,3354.34,1443.98,2,1,419.25,177.15,676.4,1,3,6,5,0,100.0,79.623,-20.38,0.796,1,15.02,0,0,1,18808868,0
37.0,1,1,1,4,152.44,1,2,0,0,3061.67,2970.08,1,0,122.91,0.0,275.35,1,1,6,4,0,100.0,150.975,50.97,1.51,1,14.97,0,2,1,19238572,0
18.0,1,2,0,3,80.0,0,2,0,1,1639.52,2018.14,0,0,0.0,0.0,80.0,1,4,4,10,0,100.0,131.499,31.5,1.315,1,19.53,1,1,1,16533585,0
40.0,1,2,0,2,106.42,0,0,0,1,7064.09,1808.51,0,0,0.0,0.0,106.42,1,3,8,11,1,100.0,128.166,28.17,1.282,1,11.12,1,0,1,15901465,0
18.0,0,2,1,6,97.64,1,2,1,0,2189.4,1775.8,0,0,0.0,0.0,97.64,1,0,4,6,1,100.0,114.42,14.42,1.144,1,30.75,0,1,1,14440836,0
30.0,0,1,3,2,80.0,0,0,2,0,2309.31,1091.71,1,0,365.4,0.0,445.4,1,1,6,4,1,100.0,94.719,-5.28,0.947,1,5.0,0,2,1,11546451,0
50.0,0,2,2,1,80.0,1,0,0,0,4629.36,2122.69,0,0,0.0,0.0,80.0,1,1,4,11,0,100.0,106.017,6.02,1.06,0,5.0,0,1,1,10687400,0
26.0,1,1,3,3,80.0,0,2,0,1,3419.68,939.67,4,0,266.18,0.0,346.18,1,1,4,8,1,100.0,69.311,-30.69,0.693,0,5.0,1,1,1,17469216,0
41.0,1,1,1,3,153.28,2,0,1,0,1847.45,3223.9,3,0,302.08,0.0,455.36,1,6,4,6,1,100.0,83.249,-16.75,0.832,1,26.89,1,1,1,19241626,0
47.0,0,1,0,5,116.76,4,3,0,1,4729.56,2091.06,5,1,604.39,32.66,753.81,1,0,6,8,1,100.0,75.624,-24.38,0.756,0,5.0,0,2,1,13010393,0
38.0,1,1,1,5,174.33,4,3,1,0,1796.35,3048.16,2,1,603.46,85.72,863.51,1,0,6,6,1,100.0,65.728,-34.27,0.657,1,24.08,0,3,1,14058906,0
19.0,1,2,4,9,80.0,0,2,1,0,2623.39,2606.19,0,0,0.0,0.0,80.0,1,1,6,8,0,100.0,118.508,18.51,1.185,1,29.09,0,0,1,13471153,0
31.0,0,0,1,2,80.0,0,0,2,0,3653.9,1176.48,4,1,0.0,161.9,241.9,1,3,4,10,1,100.0,123.5,23.5,1.235,1,10.53,1,1,1,16957301,0
59.0,0,2,4,9,80.0,2,0,0,0,2044.96,1731.21,0,0,0.0,0.0,80.0,1,0,8,9,0,100.0,125.323,25.32,1.253,1,14.48,0,0,1,18077376,0
18.0,0,2,3,7,80.0,3,2,3,0,3405.68,3394.16,0,0,0.0,0.0,80.0,1,0,4,3,0,100.0,66.672,-33.33,0.667,0,5.0,1,3,1,15782328,0
32.0,1,3,4,2,80.0,1,0,0,1,1233.53,2251.3,2,0,0.0,0.0,80.0,1,1,4,6,1,100.0,104.207,4.21,1.042,1,19.43,0,1,1,12330129,0
28.0,1,2,2,2,80.0,0,2,2,0,5974.33,927.77,0,0,0.0,0.0,80.0,1,2,6,12,1,100.0,79.76,-20.24,0.798,0,5.0,1,0,1,15656462,0
36.0,1,1,1,5,96.28,0,3,1,0,4181.0,2019.78,1,0,249.92,0.0,346.2,1,1,8,6,0,100.0,128.606,28.61,1.286,1,26.44,0,2,1,19889133,0
44.0,1,1,1,9,113.94,2,0,0,0,4366.73,6608.83,2,0,223.12,0.0,337.06,1,1,4,7,1,100.0,113.876,13.88,1.139,0,5.0,0,1,1,15054741,0
54.0,1,1,2,3,226.03,1,1,0,0,2305.3,2785.68,5,2,364.54,180.84,771.41,1,2,8,3,0,100.0,52.078,-47.92,0.521,1,33.38,0,0,1,18228016,0
32.0,1,3,3,3,80.0,4,1,3,0,5179.61,601.62,1,0,0.0,0.0,80.0,1,2,4,8,1,100.0,127.287,27.29,1.273,1,26.24,0,0,1,12556907,0
45.0,1,1,2,6,80.0,0,0,1,0,4544.1,1763.82,0,0,134.15,0.0,214.15,1,1,8,11,1,100.0,82.461,-17.54,0.825,0,5.0,0,0,1,11525689,0
41.0,0,1,3,5,80.0,0,0,1,0,2423.99,1408.79,4,1,275.04,136.27,491.31,1,0,6,6,1,100.0,62.989,-37.01,0.63,1,37.17,0,0,1,15307299,0
41.0,0,0,1,2,144.68,0,0,1,1,4803.55,4509.1,4,1,0.0,111.49,256.17,1,1,4,9,0,100.0,97.118,-2.88,0.971,1,27.32,0,1,1,19675165,0
28.0,1,0,2,2,80.0,2,2,3,0,2997.23,2357.83,2,1,0.0,91.23,171.23,1,4,4,8,0,100.0,114.215,14.22,1.142,1,25.13,1,0,1,12774682,0
23.0,0,2,1,4,97.97,2,2,0,0,1930.18,1740.22,0,0,0.0,0.0,97.97,1,4,6,5,1,100.0,109.068,9.07,1.091,1,15.18,1,1,1,15057634,0
22.0,0,1,2,3,80.0,0,0,1,1,3054.57,1229.79,2,1,288.3,58.36,426.66,0,0,0,0,2,0.0,0.0,0.0,0.0,1,15.58,0,4,0,11419009,0
26.0,0,1,3,3,80.0,0,3,1,1,4404.16,2862.76,2,0,255.76,0.0,335.76,1,0,8,8,0,100.0,90.161,-9.84,0.902,1,30.06,0,0,1,11730357,0
39.0,0,0,3,4,80.0,2,1,0,1,1890.78,1281.39,1,0,0.0,0.0,80.0,1,0,6,11,1,100.0,76.259,-23.74,0.763,0,5.0,1,1,1,15530513,0
44.0,0,2,1,4,86.31,4,0,3,0,4331.04,1481.49,0,0,0.0,0.0,86.31,1,1,6,6,0,100.0,38.95,-61.05,0.39,1,23.11,1,1,1,17867848,0
39.0,0,1,1,9,82.25,2,1,0,1,4803.5,2123.99,2,1,102.56,49.7,234.51,1,2,6,9,0,100.0,113.503,13.5,1.135,1,33.23,0,2,1,13925114,0
28.0,0,1,0,4,80.0,0,3,0,1,4157.09,1853.58,0,0,123.67,0.0,203.67,1,3,6,8,1,100.0,61.275,-38.72,0.613,1,35.62,2,0,1,10164410,0
57.0,1,1,0,5,144.67,2,0,2,0,2404.27,2483.04,3,1,261.01,116.13,521.81,0,0,0,0,2,0.0,0.0,0.0,0.0,0,5.0,0,1,0,10094785,0
53.0,0,1,1,3,80.0,2,2,2,0,2718.72,5088.47,1,0,144.71,0.0,224.71,0,0,0,0,2,0.0,0.0,0.0,0.0,1,29.24,0,0,0,19684232,0
31.0,0,2,1,4,180.68,0,0,0,1,2470.59,4039.42,0,0,0.0,0.0,180.68,0,0,0,0,2,0.0,0.0,0.0,0.0,1,17.71,0,1,0,12999452,0
25.0,1,2,4,1,162.69,2,0,0,0,2020.25,659.9,0,0,0.0,0.0,162.69,1,1,6,5,1,100.0,110.304,10.3,1.103,1,20.66,0,1,1,12181643,0
37.0,0,1,1,4,80.0,2,0,0,0,8296.59,987.42,1,0,328.72,0.0,408.72,1,0,6,8,0,100.0,42.011,-57.99,0.42,1,42.07,0,1,1,17889953,0
