Age,Applications_Last_12_Months,Assets_Value,Average_Fuel_Consumption_L,Cylinder_Count,Degree_Level,Eligible,Employment_Status,Expected_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Fuel_Type,Gender,Governorate,Has_Other_Social_Benefits,Household_Size,Late_or_Missed_Renewals,Liabilities_Value,Marital_Status,Number_of_Children,Previous_Subsidy_Amount,Previous_Subsidy_Received,Primary_Income_Source,Salary,Total_Children_Income,Total_Household_Income,Total_Spouse_Income,Vehicle_Age_Years,Vehicle_Count,Vehicle_Ownership,Working_Children_Count,ID
27,1,1326.77,131.182,6,3,1,0,130,1.18,1.009,0,0,3,0,8,0,1413.33,2,0,30.59,1,0,80.0,0.0,80.0,0.0,6,1,1,0,13478025
34,2,1189.03,0.0,0,1,0,0,0,0.0,0.0,1,1,3,0,3,1,1437.65,1,3,26.26,1,0,80.0,131.14,440.35,229.21,0,0,0,1,18120944
53,2,878.29,97.829,4,2,1,0,100,-2.17,0.978,2,1,1,1,5,1,2047.7,2,0,5.0,0,0,85.67,0.0,85.67,0.0,6,0,1,0,14513921
27,0,1425.92,71.167,4,0,1,0,100,-28.83,0.712,2,1,0,0,3,0,2416.53,1,1,17.64,1,2,80.0,0.0,785.72,705.72,4,1,1,0,19233449
30,2,2247.83,100.695,6,1,1,0,130,-29.31,0.775,0,0,1,0,2,1,1518.84,1,1,25.82,1,2,80.0,0.0,620.48,540.48,7,0,1,0,14494657
30,1,2600.47,152.301,4,0,1,0,100,52.3,1.523,2,0,2,1,3,0,907.71,2,0,5.0,0,2,80.0,0.0,80.0,0.0,1,0,1,0,12765743
61,2,3168.03,109.306,4,2,1,0,100,9.31,1.093,2,0,3,1,8,1,2986.25,2,0,5.0,0,0,146.29,0.0,146.29,0.0,3,2,1,0,17887615
61,1,4450.69,168.536,6,0,1,2,130,38.54,1.296,0,1,2,0,1,1,3263.7,1,1,28.85,1,2,80.0,0.0,350.66,270.66,5,1,1,0,18197544
47,1,7620.57,89.467,4,1,1,0,100,-10.53,0.895,0,1,3,0,5,1,1290.42,1,4,18.78,1,0,95.68,66.48,354.47,192.31,8,0,1,1,18619079
40,1,1548.51,0.0,0,1,0,3,0,0.0,0.0,1,0,1,1,6,0,1114.05,1,1,29.88,1,0,84.09,0.0,229.61,145.52,0,0,0,0,18898926
44,2,5873.89,139.554,4,1,1,0,100,39.55,1.396,2,1,4,0,4,0,3900.8,1,1,20.62,1,0,80.0,0.0,664.46,584.46,4,2,1,0,10250718
53,0,10642.1,72.48,4,1,1,0,100,-27.52,0.725,2,1,3,1,5,0,676.99,3,1,22.24,1,0,110.79,0.0,110.79,0.0,8,1,1,0,15129704
24,1,3885.84,108.684,6,4,1,2,130,-21.32,0.836,2,1,0,0,4,0,4130.94,2,0,20.47,1,2,80.0,0.0,80.0,0.0,8,1,1,0,12681676
49,0,3130.37,119.26,4,2,1,3,100,19.26,1.193,2,0,2,0,5,0,3738.04,0,1,10.56,1,0,86.17,34.86,121.03,0.0,7,3,1,1,12449645
20,0,1079.98,63.33,4,0,1,2,100,-36.67,0.633,2,1,1,1,2,1,4497.3,2,0,35.27,1,2,80.0,0.0,80.0,0.0,10,2,1,0,12412231
27,1,1629.58,142.472,6,2,1,0,130,12.47,1.096,2,1,2,0,5,0,5207.26,2,0,5.0,0,2,80.0,0.0,80.0,0.0,5,3,1,0,18242415
46,1,2481.08,0.0,0,2,0,0,0,0.0,0.0,1,1,1,1,2,0,1952.63,3,1,16.61,1,2,80.0,0.0,80.0,0.0,0,0,0,0,17920811
18,0,2567.7,91.403,4,1,1,2,100,-8.6,0.914,2,1,1,1,1,1,1526.79,1,1,17.34,1,2,80.0,0.0,239.54,159.54,6,0,1,0,12137629
33,0,4081.56,104.661,4,0,1,3,100,4.66,1.047,0,1,2,0,3,0,1460.56,1,0,5.0,0,3,125.03,0.0,379.36,254.33,6,1,1,0,14096017
25,0,3108.06,185.825,8,2,1,0,160,25.82,1.161,0,0,1,1,7,1,2030.99,0,3,5.0,0,3,80.0,100.14,180.14,0.0,5,1,1,1,17414669
32,0,2516.86,96.55,4,1,1,3,100,-3.45,0.966,2,0,3,0,4,1,2932.34,1,4,5.0,0,2,80.0,0.0,349.07,269.07,4,2,1,0,11482283
18,1,2053.95,125.426,4,2,1,2,100,25.43,1.254,2,1,1,0,5,0,513.06,2,0,5.0,0,0,80.0,0.0,80.0,0.0,7,2,1,0,16299401
18,0,4486.11,153.549,4,2,1,3,100,53.55,1.535,2,0,3,0,4,1,6117.56,2,0,24.61,1,0,138.45,0.0,138.45,0.0,5,0,1,0,14386097
27,1,2180.65,62.499,4,4,1,2,100,-37.5,0.625,2,1,1,1,2,0,2499.6,1,1,5.0,0,2,80.0,0.0,299.79,219.79,6,0,1,0,19274071
46,2,5554.12,110.186,4,1,1,0,100,10.19,1.102,2,1,3,0,3,1,3496.1,1,2,32.56,1,0,94.18,152.18,473.07,226.71,7,0,1,1,17391686
33,1,2554.64,108.13,4,0,1,0,100,8.13,1.081,0,1,1,1,3,0,5512.87,0,0,5.0,0,1,80.0,0.0,80.0,0.0,2,1,1,0,12319081
35,1,2626.09,190.834,8,2,1,3,160,30.83,1.193,2,0,3,0,1,0,1325.51,2,0,24.43,1,0,94.42,0.0,94.42,0.0,7,2,1,0,18350496
43,1,5498.17,95.384,4,2,1,0,100,-4.62,0.954,2,1,4,0,6,2,1205.88,1,4,25.31,1,2,118.61,380.54,588.55,89.4,3,1,1,3,17991250
24,1,3725.9,114.05,6,0,1,2,130,-15.95,0.877,2,0,0,0,5,0,1367.24,2,0,21.45,1,0,80.0,0.0,80.0,0.0,9,1,1,0,12130422
38,2,1326.84,0.0,0,3,0,2,0,0.0,0.0,1,1,2,0,4,0,925.59,1,1,5.0,0,2,117.02,0.0,281.68,164.66,0,0,0,0,15181649
25,2,3273.49,121.028,6,4,1,0,130,-8.97,0.931,2,0,1,0,1,0,1863.16,1,0,27.22,1,3,80.0,0.0,482.0,402.0,6,3,1,0,17941509
18,2,2803.2,67.751,4,1,1,0,100,-32.25,0.678,2,0,3,0,3,0,2508.52,2,0,30.98,1,2,80.0,0.0,80.0,0.0,8,2,1,0,12315556
30,1,2086.75,56.964,4,1,1,2,100,-43.04,0.57,0,1,1,0,4,0,1366.84,1,4,5.0,0,0,108.65,0.0,523.34,414.69,11,1,1,0,12448033
42,0,2718.19,125.278,4,1,1,2,100,25.28,1.253,0,1,2,0,3,0,2870.22,0,1,14.28,1,0,129.51,0.0,129.51,0.0,8,1,1,0,11659039
39,0,2532.21,94.589,4,2,1,2,100,-5.41,0.946,2,0,2,0,5,1,948.22,2,0,5.0,0,0,80.0,0.0,80.0,0.0,5,1,1,0,10075992
35,0,777.52,141.718,6,2,1,0,130,11.72,1.09,2,1,0,0,3,1,6402.81,1,1,5.0,0,0,80.0,93.29,442.74,269.45,10,1,1,1,14977889
64,0,2454.85,133.603,4,2,1,0,100,33.6,1.336,2,0,0,1,5,0,1948.5,2,0,5.0,0,3,143.1,0.0,143.1,0.0,7,4,1,0,10161526
40,2,4817.1,149.865,8,2,1,0,160,-10.13,0.937,2,1,1,0,5,0,1569.76,1,5,12.98,1,3,80.0,102.64,472.89,290.25,6,0,1,1,15827245
47,0,3866.75,140.067,6,1,1,0,130,10.07,1.077,0,0,3,0,1,0,5889.66,2,0,5.0,0,3,80.0,0.0,80.0,0.0,9,1,1,0,14157798
62,1,2835.02,99.276,4,0,1,3,100,-0.72,0.993,2,1,4,0,4,0,2400.19,2,0,29.83,1,3,109.65,0.0,109.65,0.0,5,3,1,0,11843379
19,0,2237.42,78.064,4,0,1,0,100,-21.94,0.781,2,1,3,0,6,0,740.93,1,0,18.19,1,2,80.0,0.0,325.28,245.28,4,1,1,0,13618400
23,0,2754.64,83.994,4,0,1,0,100,-16.01,0.84,2,1,1,0,2,0,3437.77,2,0,23.95,1,0,131.58,0.0,131.58,0.0,9,0,1,0,10148949
56,3,1891.77,105.368,4,4,1,0,100,5.37,1.054,0,1,0,1,6,3,3391.03,2,0,35.66,1,0,80.0,0.0,80.0,0.0,8,3,1,0,11434120
25,0,3276.82,130.502,4,4,1,1,100,30.5,1.305,2,1,1,1,6,0,900.45,1,3,5.0,0,0,80.0,0.0,265.43,185.43,9,2,1,0,14711331
35,0,1865.37,109.445,4,1,1,0,100,9.44,1.094,2,1,0,1,6,0,4760.52,2,0,22.73,1,0,104.16,0.0,104.16,0.0,7,1,1,0,10773041
48,0,2980.92,77.196,4,2,1,0,100,-22.8,0.772,2,0,0,0,5,1,1134.39,1,3,30.03,1,0,123.73,0.0,392.06,268.33,11,0,1,0,17282432
46,2,4741.71,77.157,4,2,1,0,100,-22.84,0.772,2,0,4,0,6,0,6904.37,1,3,5.0,0,0,113.36,155.69,432.1,163.05,8,0,1,1,12568856
56,0,2762.91,191.842,8,2,1,3,160,31.84,1.199,2,0,0,1,9,0,949.06,0,5,23.32,1,0,104.59,163.68,268.27,0.0,8,1,1,2,19186003
53,0,1766.75,133.719,6,0,1,1,130,3.72,1.029,2,1,4,0,5,0,598.01,1,1,5.0,0,3,113.85,0.0,389.28,275.43,3,0,1,0,11696945
48,1,2024.87,141.553,6,2,1,1,130,11.55,1.089,2,1,1,0,5,0,2137.85,1,2,25.49,1,2,89.18,0.0,324.48,235.3,6,6,1,0,16255339
26,2,3233.77,143.616,6,0,1,0,130,13.62,1.105,2,0,3,1,4,0,1483.97,1,2,15.92,1,2,120.39,0.0,589.94,469.55,5,1,1,0,15153397
45,0,2052.9,189.866,8,2,1,0,160,29.87,1.187,2,0,3,0,3,0,3499.22,1,1,24.4,1,0,84.36,0.0,408.89,324.53,6,1,1,0,19171224
39,2,7691.23,187.147,6,2,1,2,130,57.15,1.44,0,0,3,0,6,0,1296.27,2,0,5.0,0,2,100.66,0.0,100.66,0.0,9,0,1,0,16177911
19,1,5591.26,61.387,4,2,1,2,100,-38.61,0.614,2,1,3,0,4,0,1401.72,1,1,32.63,1,2,80.0,0.0,447.76,367.76,4,2,1,0,18646901
52,2,2884.52,61.07,4,0,1,2,100,-38.93,0.611,2,1,2,1,2,0,1377.79,0,4,27.07,1,2,80.0,221.12,301.12,0.0,3,1,1,2,14641713
45,3,2119.44,155.004,6,2,1,2,130,25.0,1.192,0,1,1,0,4,0,1051.3,1,3,27.56,1,2,138.5,81.6,355.86,135.76,3,1,1,1,12181428
36,0,1285.83,132.229,6,2,1,0,130,2.23,1.017,0,1,1,1,3,0,5276.29,1,2,5.0,0,0,189.68,92.23,441.78,159.87,1,0,1,1,11892589
32,0,6699.95,0.0,0,2,0,0,0,0.0,0.0,1,0,1,0,3,0,1466.88,1,3,25.18,1,2,80.0,0.0,272.82,192.82,0,0,0,0,18661273
21,0,4942.82,148.885,6,2,1,0,130,18.88,1.145,0,1,3,0,2,1,4956.45,2,0,17.52,1,2,80.0,0.0,80.0,0.0,7,0,1,0,12032083
37,1,2034.74,85.803,4,1,1,0,100,-14.2,0.858,2,0,1,0,6,0,1828.55,0,3,27.94,1,0,80.0,125.39,205.39,0.0,4,2,1,1,17307518
41,0,5857.62,137.433,6,0,1,3,130,7.43,1.057,2,0,2,0,3,0,1290.21,1,1,27.62,1,2,89.0,0.0,350.69,261.69,9,0,1,0,15274409
25,0,2498.85,199.064,8,1,1,1,160,39.06,1.244,0,1,1,1,2,0,2753.13,1,1,25.34,1,0,80.0,0.0,307.34,227.34,9,2,1,0,12778652
49,1,2249.31,0.0,0,2,0,3,0,0.0,0.0,1,0,4,0,2,1,15172.9,2,0,34.33,1,0,80.0,0.0,80.0,0.0,0,0,0,0,14106168
22,0,2001.77,115.644,6,1,1,2,130,-14.36,0.89,2,0,4,0,5,0,1156.56,2,0,25.29,1,0,111.25,0.0,111.25,0.0,12,1,1,0,17970434
18,2,2909.78,0.0,0,4,0,2,0,0.0,0.0,1,1,2,0,5,0,4956.21,2,0,25.1,1,2,192.69,0.0,192.69,0.0,0,0,0,0,14529515
47,1,1138.82,113.532,4,2,1,0,100,13.53,1.135,2,1,4,0,4,0,2610.76,2,0,20.96,1,2,80.0,0.0,80.0,0.0,10,1,1,0,18652216
30,0,5744.56,119.185,4,2,1,0,100,19.19,1.192,0,0,0,1,2,2,2426.84,1,3,23.96,1,0,191.32,95.16,1041.43,754.95,2,2,1,1,19459399
33,1,3250.08,174.551,8,2,1,0,160,14.55,1.091,0,1,1,0,3,0,1397.55,2,0,28.29,1,0,131.32,0.0,131.32,0.0,11,0,1,0,12994378
25,1,3302.74,83.156,4,0,1,2,100,-16.84,0.832,2,0,1,1,1,0,4082.33,2,0,29.59,1,0,131.56,0.0,131.56,0.0,6,1,1,0,15258093
18,1,5471.33,108.019,4,0,1,2,100,8.02,1.08,2,1,3,0,5,0,1727.59,2,0,18.68,1,2,134.37,0.0,134.37,0.0,10,1,1,0,15270420
50,1,3237.37,81.861,4,0,1,0,100,-18.14,0.819,0,1,3,1,5,0,5062.87,1,5,15.53,1,0,80.0,243.33,494.12,170.79,10,3,1,3,15429662
27,4,4600.81,0.0,0,0,0,3,0,0.0,0.0,1,0,3,1,3,0,2275.4,1,1,5.0,0,2,107.72,0.0,599.68,491.96,0,0,0,0,10714867
55,1,2762.58,160.102,6,0,1,0,130,30.1,1.232,0,1,1,1,3,0,1605.87,1,3,33.8,1,0,80.0,84.62,452.67,288.05,12,1,1,1,13698288
45,0,1931.09,61.683,4,2,1,1,100,-38.32,0.617,0,0,2,0,1,1,2099.7,2,0,5.0,0,0,95.28,0.0,95.28,0.0,9,2,1,0,15832383
31,0,7470.66,127.563,8,1,1,0,160,-32.44,0.797,0,1,2,0,3,0,2031.13,1,2,13.29,1,2,129.56,0.0,457.46,327.9,9,2,1,0,19183139
22,1,2265.44,61.295,4,3,1,0,100,-38.7,0.613,0,1,1,0,4,0,5240.71,2,0,5.0,0,2,112.3,0.0,112.3,0.0,5,0,1,0,12379063
26,1,3585.44,118.315,4,0,1,0,100,18.31,1.183,2,1,0,1,8,0,926.17,2,0,5.0,0,0,136.09,0.0,136.09,0.0,10,0,1,0,16440880
20,2,2662.99,172.138,6,3,1,2,130,42.14,1.324,2,1,0,0,1,0,1112.5,2,0,5.0,0,0,160.93,0.0,160.93,0.0,7,2,1,0,17649635
60,2,4633.12,0.0,0,2,0,0,0,0.0,0.0,1,1,1,0,5,0,1540.59,0,0,14.72,1,2,118.97,0.0,118.97,0.0,0,0,0,0,19243245
37,2,3599.0,163.429,8,0,1,3,160,3.43,1.021,0,1,1,0,5,0,4176.72,2,0,16.9,1,0,80.0,0.0,80.0,0.0,5,1,1,0,11736316
49,2,2065.1,0.0,0,1,0,0,0,0.0,0.0,1,0,2,1,4,0,2045.02,1,0,33.03,1,2,115.05,0.0,380.34,265.29,0,0,0,0,16742954
20,1,2476.14,139.56,6,0,1,2,130,9.56,1.074,2,1,3,0,3,0,1339.62,2,0,29.97,1,0,85.32,0.0,85.32,0.0,9,0,1,0,13127422
37,2,2443.26,108.928,6,2,1,0,130,-21.07,0.838,2,1,1,0,2,0,653.17,2,0,5.0,0,3,80.0,0.0,80.0,0.0,9,2,1,0,14400489
49,2,6538.39,145.481,6,4,1,3,130,15.48,1.119,2,1,0,0,3,0,8142.29,2,0,33.76,1,0,104.76,0.0,104.76,0.0,9,2,1,0,10144744
31,1,1956.67,0.0,0,1,0,0,0,0.0,0.0,1,1,4,0,3,1,2114.47,2,0,26.25,1,2,83.5,0.0,83.5,0.0,0,0,0,0,17222572
47,0,2853.72,149.345,6,0,1,0,130,19.34,1.149,0,0,1,0,3,0,2003.49,1,0,11.66,1,2,80.0,0.0,187.11,107.11,8,4,1,0,10325519
22,0,1681.52,136.196,6,4,1,2,130,6.2,1.048,0,1,4,0,8,0,1190.76,1,1,20.53,1,2,114.29,0.0,290.65,176.36,8,1,1,0,13739534
19,1,2685.8,160.705,4,0,1,3,100,60.71,1.607,2,1,1,0,3,0,1268.23,2,0,23.41,1,0,80.0,0.0,80.0,0.0,6,0,1,0,14967017
40,1,2475.17,0.0,0,2,0,0,0,0.0,0.0,1,1,1,0,1,1,2473.7,1,5,5.0,0,2,80.0,74.06,372.84,218.78,0,0,0,1,16690189
30,1,2730.42,160.114,4,2,1,0,100,60.11,1.601,0,1,1,0,1,0,5475.66,1,1,18.87,1,2,165.84,0.0,574.32,408.48,6,1,1,0,14683124
43,0,2650.09,104.956,4,0,1,0,100,4.96,1.05,2,1,0,1,3,0,3019.93,2,0,22.14,1,2,80.0,0.0,80.0,0.0,6,1,1,0,18388722
18,0,2392.86,0.0,0,2,0,2,0,0.0,0.0,1,1,1,0,6,0,2058.93,1,2,18.0,1,0,103.7,0.0,273.66,169.96,0,0,0,0,11276903
44,0,2169.22,54.015,4,2,1,2,100,-45.98,0.54,2,0,4,1,4,0,3274.25,3,0,5.0,0,0,109.58,0.0,109.58,0.0,9,2,1,0,12622443
66,1,3727.63,127.201,6,1,1,1,130,-2.8,0.978,0,0,1,0,6,0,5819.09,2,0,5.0,0,0,120.41,0.0,120.41,0.0,6,0,1,0,12575624
35,2,2112.2,118.744,4,2,1,1,100,18.74,1.187,2,0,1,0,6,0,7648.99,3,2,5.0,0,0,80.0,76.13,156.13,0.0,3,3,1,1,13797750
35,0,3354.34,109.623,6,1,1,0,130,-20.38,0.843,0,0,3,0,2,0,1443.98,1,2,15.02,1,2,80.0,177.15,676.4,419.25,5,3,1,1,10031811
37,2,3061.67,180.975,6,1,1,2,130,50.97,1.392,0,1,1,0,4,0,2970.08,1,1,14.97,1,0,152.44,0.0,275.35,122.91,4,1,1,0,14293186
18,1,1639.52,131.499,4,0,1,2,100,31.5,1.315,0,1,0,1,3,1,2018.14,2,0,19.53,1,0,80.0,0.0,80.0,0.0,10,4,1,0,13810677
40,0,7064.09,188.166,8,0,1,0,160,28.17,1.176,2,1,0,1,2,1,1808.51,2,0,11.12,1,0,106.42,0.0,106.42,0.0,11,3,1,0,15854312
18,1,2189.4,114.42,4,1,1,2,100,14.42,1.144,2,0,1,0,6,0,1775.8,2,0,30.75,1,2,97.64,0.0,97.64,0.0,6,0,1,0,15758730
30,2,2309.31,124.719,6,0,1,0,130,-5.28,0.959,2,0,3,0,2,0,1091.71,1,1,5.0,1,3,80.0,0.0,445.4,365.4,4,1,1,0,12812550
50,1,4629.36,106.017,4,1,1,0,100,6.02,1.06,0,0,2,0,1,0,2122.69,2,0,5.0,0,0,80.0,0.0,80.0,0.0,11,1,1,0,14272987
26,1,3419.68,69.311,4,0,1,2,100,-30.69,0.693,2,1,3,1,3,1,939.67,1,4,5.0,0,0,80.0,0.0,346.18,266.18,8,1,1,0,15031398
41,1,1847.45,83.249,4,2,1,0,100,-16.75,0.832,2,1,1,0,3,1,3223.9,1,3,26.89,1,2,153.28,0.0,455.36,302.08,6,6,1,0,18351022
47,2,4729.56,105.624,6,4,1,3,130,-24.38,0.812,2,0,0,1,5,0,2091.06,1,5,5.0,0,0,116.76,32.66,753.81,604.39,8,0,1,1,10768793
38,3,1796.35,95.728,6,4,1,3,130,-34.27,0.736,2,1,1,0,5,0,3048.16,1,2,24.08,1,2,174.33,85.72,863.51,603.46,6,0,1,1,16164911
19,0,2623.39,148.508,6,0,1,2,130,18.51,1.142,0,1,4,0,9,0,2606.19,2,0,29.09,1,2,80.0,0.0,80.0,0.0,8,1,1,0,10801668
31,1,3653.9,123.5,4,0,1,0,100,23.5,1.235,2,0,1,0,2,1,1176.48,0,4,10.53,1,3,80.0,161.9,241.9,0.0,10,3,1,1,12660838
59,0,2044.96,185.323,8,2,1,0,160,25.32,1.158,0,0,4,0,9,0,1731.21,2,0,14.48,1,0,80.0,0.0,80.0,0.0,9,0,1,0,14440385
18,3,3405.68,66.672,4,3,1,2,100,-33.33,0.667,0,0,3,0,7,1,3394.16,2,0,5.0,0,1,80.0,0.0,80.0,0.0,3,0,1,0,18110220
32,1,1233.53,104.207,4,1,1,0,100,4.21,1.042,2,1,4,1,2,0,2251.3,3,2,19.43,1,0,80.0,0.0,80.0,0.0,6,1,1,0,13367772
28,0,5974.33,109.76,6,0,1,2,130,-20.24,0.844,2,1,2,0,2,1,927.77,2,0,5.0,0,3,80.0,0.0,80.0,0.0,12,2,1,0,14994867
36,2,4181.0,188.606,8,0,1,3,160,28.61,1.179,0,1,1,0,5,0,2019.78,1,1,26.44,1,2,96.28,0.0,346.2,249.92,6,1,1,0,15788742
44,1,4366.73,113.876,4,2,1,0,100,13.88,1.139,2,1,1,0,9,0,6608.83,1,2,5.0,0,0,113.94,0.0,337.06,223.12,7,1,1,0,17588102
54,0,2305.3,112.078,8,1,1,1,160,-47.92,0.7,0,1,2,0,3,0,2785.68,1,5,33.38,1,0,226.03,180.84,771.41,364.54,3,2,1,2,13957782
32,0,5179.61,127.287,4,4,1,1,100,27.29,1.273,2,1,3,0,3,0,601.62,3,1,26.24,1,1,80.0,0.0,80.0,0.0,8,2,1,0,15660890
45,0,4544.1,142.461,8,0,1,0,160,-17.54,0.89,2,1,2,0,6,0,1763.82,1,0,5.0,0,2,80.0,0.0,214.15,134.15,11,1,1,0,18388436
41,0,2423.99,92.989,6,0,1,0,130,-37.01,0.715,2,0,3,0,5,0,1408.79,1,4,37.17,1,2,80.0,136.27,491.31,275.04,6,0,1,1,14374403
41,1,4803.55,97.118,4,0,1,0,100,-2.88,0.971,0,0,1,1,2,0,4509.1,0,4,27.32,1,2,144.68,111.49,256.17,0.0,9,1,1,1,19378837
28,0,2997.23,114.215,4,2,1,2,100,14.22,1.142,0,1,2,0,2,1,2357.83,0,2,25.13,1,1,80.0,91.23,171.23,0.0,8,4,1,1,13961544
23,1,1930.18,139.068,6,2,1,2,130,9.07,1.07,2,0,1,0,4,1,1740.22,2,0,15.18,1,0,97.97,0.0,97.97,0.0,5,4,1,0,14330235
22,4,3054.57,0.0,0,0,0,0,0,0.0,0.0,1,0,2,1,3,0,1229.79,1,2,15.58,1,2,80.0,58.36,426.66,288.3,0,0,0,1,10222352
26,0,4404.16,150.161,8,0,1,3,160,-9.84,0.939,0,0,3,1,3,0,2862.76,1,2,30.06,1,2,80.0,0.0,335.76,255.76,8,0,1,0,15332231
39,1,1890.78,106.259,6,2,1,1,130,-23.74,0.817,2,0,3,1,4,1,1281.39,0,1,5.0,0,0,80.0,0.0,80.0,0.0,11,0,1,0,14693507
44,1,4331.04,68.95,6,4,1,0,130,-61.05,0.53,0,0,1,0,4,1,1481.49,2,0,23.11,1,1,86.31,0.0,86.31,0.0,6,1,1,0,14150798
39,2,4803.5,143.503,6,2,1,1,130,13.5,1.104,0,0,1,1,9,0,2123.99,1,2,33.23,1,0,82.25,49.7,234.51,102.56,9,2,1,1,16235583
28,0,4157.09,91.275,6,0,1,3,130,-38.72,0.702,2,0,0,1,4,2,1853.58,1,0,35.62,1,0,80.0,0.0,203.67,123.67,8,3,1,0,15478157
57,1,2404.27,0.0,0,2,0,0,0,0.0,0.0,1,1,0,0,5,0,2483.04,1,3,5.0,0,3,144.67,116.13,521.81,261.01,0,0,0,1,19461133
53,0,2718.72,0.0,0,2,0,2,0,0.0,0.0,1,0,1,0,3,0,5088.47,1,1,29.24,1,3,80.0,0.0,224.71,144.71,0,0,0,0,14066404
31,1,2470.59,0.0,0,0,0,0,0,0.0,0.0,1,0,1,1,4,0,4039.42,2,0,17.71,1,0,180.68,0.0,180.68,0.0,0,0,0,0,14353260
25,1,2020.25,140.304,6,2,1,0,130,10.3,1.079,2,1,4,0,1,0,659.9,2,0,20.66,1,0,162.69,0.0,162.69,0.0,5,1,1,0,18121413
37,1,8296.59,72.011,6,2,1,0,130,-57.99,0.554,0,0,1,0,4,0,987.42,1,1,42.07,1,0,80.0,0.0,408.72,328.72,8,0,1,0,14856413
50,1,2127.5,0.0,0,0,0,0,0,0.0,0.0,1,1,3,1,7,0,2426.42,1,1,24.82,1,0,80.0,0.0,243.75,163.75,0,0,0,0,12502648
39,1,3754.17,120.636,4,2,1,1,100,20.64,1.206,2,0,3,0,1,0,1126.67,1,0,22.75,1,0,111.09,0.0,609.93,498.84,6,1,1,0,15191150
42,1,3337.79,0.0,0,3,0,0,0,0.0,0.0,1,0,3,0,5,0,2022.23,1,2,22.23,1,0,101.71,111.53,670.94,457.7,0,0,0,1,15067283
32,2,4879.58,88.506,4,2,1,0,100,-11.49,0.885,2,1,1,1,6,1,5999.54,2,0,34.64,1,1,80.0,0.0,80.0,0.0,9,1,1,0,14085909
40,1,1101.94,0.0,0,1,0,3,0,0.0,0.0,1,1,3,0,5,1,6557.13,1,1,15.25,1,0,80.0,0.0,365.99,285.99,0,0,0,0,15309177
54,2,4046.09,114.427,6,1,1,1,130,-15.57,0.88,2,0,2,1,1,0,987.43,2,0,34.13,1,0,161.16,0.0,161.16,0.0,6,0,1,0,15787956
32,3,2502.11,111.489,4,0,1,1,100,11.49,1.115,2,1,0,0,2,0,701.23,1,0,24.09,1,0,80.0,0.0,425.87,345.87,8,1,1,0,19708214
37,1,8123.72,68.944,4,0,1,2,100,-31.06,0.689,0,0,1,0,6,0,1289.4,1,4,18.3,1,2,80.0,0.0,381.8,301.8,5,1,1,0,10703506
38,1,6395.06,118.196,6,2,1,2,130,-11.8,0.909,2,1,1,1,1,0,1827.81,1,7,22.75,1,3,141.17,130.83,518.25,246.25,7,4,1,3,19130311
